STEP 0 : | P0: 1 | P1: 0 | P2: 0 | P5: 0 | P3: 0 | P4: 1 | P6: 1 | P7: 0 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 1 : | P0: 1 | P1: 1 | P2: 1 | P5: 0 | P3: 0 | P4: 1 | P6: 1 | P7: 0 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 2 : | P0: 1 | P1: 2 | P2: 2 | P5: 0 | P3: 0 | P4: 1 | P6: 1 | P7: 0 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 3 : | P0: 1 | P1: 3 | P2: 3 | P5: 0 | P3: 1 | P4: 1 | P6: 1 | P7: 0 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 4 : | P0: 1 | P1: 4 | P2: 4 | P5: 0 | P3: 1 | P4: 1 | P6: 1 | P7: 0 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 5 : | P0: 1 | P1: 5 | P2: 5 | P5: 0 | P3: 2 | P4: 1 | P6: 1 | P7: 0 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 6 : | P0: 1 | P1: 6 | P2: 6 | P5: 1 | P3: 2 | P4: 1 | P6: 1 | P7: 1 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 7 : | P0: 1 | P1: 7 | P2: 7 | P5: 1 | P3: 3 | P4: 1 | P6: 1 | P7: 1 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 8 : | P0: 1 | P1: 8 | P2: 8 | P5: 1 | P3: 3 | P4: 1 | P6: 1 | P7: 1 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 9 : | P0: 1 | P1: 9 | P2: 9 | P5: 1 | P3: 4 | P4: 1 | P6: 1 | P7: 1 | P8: 0 | P9: 0 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 10 : | P0: 1 | P1: 10 | P2: 10 | P5: 1 | P3: 4 | P4: 1 | P6: 1 | P7: 2 | P8: 0 | P9: 1 | P10: 0 | P11: 0 | P12: 0 | P13: 0 
STEP 11 : | P0: 1 | P1: 11 | P2: 11 | P5: 2 | P3: 5 | P4: 2 | P6: 2 | P7: 2 | P8: 0 | P9: 1 | P10: 0 | P11: 1 | P12: 0 | P13: 0 
STEP 12 : | P0: 1 | P1: 12 | P2: 12 | P5: 2 | P3: 5 | P4: 3 | P6: 3 | P7: 2 | P8: 1 | P9: 1 | P10: 0 | P11: 2 | P12: 0 | P13: 0 
STEP 13 : | P0: 1 | P1: 13 | P2: 13 | P5: 2 | P3: 6 | P4: 4 | P6: 4 | P7: 2 | P8: 1 | P9: 1 | P10: 0 | P11: 3 | P12: 0 | P13: 0 
STEP 14 : | P0: 1 | P1: 14 | P2: 14 | P5: 2 | P3: 6 | P4: 5 | P6: 5 | P7: 3 | P8: 1 | P9: 1 | P10: 0 | P11: 4 | P12: 0 | P13: 0 
